property_name,property_type,baths,baths_1qtr,baths_3qtr,baths_full,baths_half,beds,garage,lot_sqft,name,sold_date,sold_price,sqft,stories,sub_type,type,year_built,is_foreclosure,is_price_reduced,is_new_listing,is_new_construction,price_reduced_amount,property_id,list_price,listing_id,street_address,city,state,postal_code,country
Southeast Alaska Real Estate,Office,3.0,,,3.0,,5.0,2.0,5875.0,,2023-08-03,,3860.0,,,single_family,1920.0,,,False,,,7660490777,835000.0,2958924095,808 5th St,Juneau,AK,99801,
,Office,2.0,,,2.0,,3.0,,7476.0,,2023-07-21,,1375.0,1.0,,mobile,2002.0,,,,,,8274121172,,,4446 Trafalgar Ave,Juneau,AK,99801,
,Office,,,,,,,,,,2023-08-21,,,,,,,,,,,,9521639574,,,9951 Stephen Richards Memorial Dr,Juneau,AK,99801,
Platinum Keller Williams Realty Alaska Group,Office,1.0,,,1.0,,2.0,,,,2023-08-04,,950.0,,condo,condos,1969.0,,,False,,,7412309719,415000.0,2958925334,11909 Glacier Hwy Apt 105,Juneau,AK,99801,
Southeast Alaska Real Estate,Office,3.0,,,3.0,,5.0,2.0,5875.0,,2023-08-03,,3860.0,,,single_family,1920.0,,,False,,,7660490777,835000.0,2958924095,808 5th St,Juneau,AK,99801,
,Office,2.0,,,2.0,,3.0,,7476.0,,2023-07-21,,1375.0,1.0,,mobile,2002.0,,,,,,8274121172,,,4446 Trafalgar Ave,Juneau,AK,99801,
Forrest Meadows Homes & Land,Office,2.0,,,2.0,,3.0,2.0,11761.0,,2024-01-16,129900.0,1478.0,1.0,,single_family,1998.0,,,False,,,8846541030,129900.0,622475855,501 Moorfield Ln,Montgomery,AL,36117,
Wallace & Moody Realty,Office,2.0,,,2.0,,4.0,1.0,6534.0,,2024-01-16,88500.0,1389.0,2.0,,single_family,1945.0,,False,False,,3000.0,7727981021,88000.0,2961522977,2326 Winona Ave,Montgomery,AL,36107,
FlatFee.com,Office,2.0,,,2.0,,3.0,,17424.0,,2024-01-16,145000.0,2058.0,1.0,,single_family,1969.0,,,False,,,7320925131,149000.0,619793175,115 Lookout Ridge Rd,Montgomery,AL,36109,
Wallace & Moody Realty,Office,2.0,,,2.0,,3.0,,9712.0,,2024-01-16,65000.0,1432.0,1.0,,single_family,1955.0,,False,False,,9000.0,7231604965,68000.0,2957379146,611 Glenmore Rd,Montgomery,AL,36107,
"List With Freedom, Inc.",Office,2.0,,,2.0,,3.0,,10890.0,,2024-01-12,169000.0,1804.0,1.0,,single_family,1984.0,,False,False,,5000.0,7700690979,169999.0,2960975584,1819 E Trinity Blvd,Montgomery,AL,36106,
Realty South - Chilton REA,Office,2.0,,,2.0,,3.0,,12632.0,,2024-01-12,180000.0,1476.0,1.0,,single_family,1999.0,,,False,,,8798505230,189900.0,2962329566,1112 Sandlewood Ct,Montgomery,AL,36117,
House & Home Real Estate,Office,2.0,,,2.0,,4.0,,12632.0,,2024-01-12,260000.0,1888.0,1.0,,single_family,2001.0,,True,False,,5001.0,7117799851,254999.0,2961991525,545 Ridge Park Dr,Montgomery,AL,36117,
KW MONTGOMERY,Office,2.0,,,2.0,,3.0,,13068.0,,2024-01-12,60000.0,1722.0,1.0,,single_family,1962.0,,,False,,,8922976627,75000.0,2952735222,4275 Sunshine Dr,Montgomery,AL,36116,
Capital Rlty Grp River Region,Office,2.0,,,2.0,,3.0,2.0,11326.0,,2024-01-12,159000.0,1635.0,1.0,,single_family,1965.0,,,False,,,8224034280,159000.0,2962073853,817 Dumont Dr,Montgomery,AL,36109,
Century 21 Prestige,Office,3.0,,,2.0,1.0,3.0,,740520.0,,2024-01-12,424900.0,3339.0,2.0,,single_family,1974.0,,,False,,,9099119141,424900.0,2959272543,1380 Cantelou Rd,Montgomery,AL,36108,
Mossy Oak Prop Al Land Crafter,Office,0.0,,,,,,,3397680.0,,2024-01-12,370000.0,,,,land,,,,False,,,9371305836,395000.0,2947407483,3180 E Old Hayneville Rd,Montgomery,AL,36105,
First Call Realty,Office,2.0,,,2.0,,3.0,,14375.0,,2024-01-12,140000.0,1576.0,1.0,,single_family,1969.0,,,False,,,7788790816,140000.0,2962320837,369 Kroy Dr,Montgomery,AL,36117,
Partners Realty,Office,1.0,,,1.0,,3.0,,13504.0,,2024-01-12,149900.0,1736.0,1.0,,single_family,1954.0,,,False,,,7502373005,149900.0,2962528957,3725 Dalraida Pkwy,Montgomery,AL,36109,
Taylor Realty,Office,1.0,,,1.0,,2.0,,4356.0,,2024-01-12,45000.0,1434.0,1.0,,single_family,1966.0,,,False,,,9066470079,50000.0,2962546121,1109D E Nixon Ave,Montgomery,AL,36104,
EXIT Realty Pike Road,Office,2.0,,,2.0,,4.0,2.0,13068.0,,2024-01-11,310000.0,2134.0,1.0,,single_family,2006.0,,False,False,,10000.0,7582727824,320000.0,2959156747,8979 Pennington Pl,Montgomery,AL,36117,
RE/MAX Cornerstone Plus,Office,2.0,,,2.0,,3.0,,6970.0,,2024-01-10,147000.0,1650.0,1.0,,single_family,1986.0,,,False,,,7012948010,145000.0,2960865829,3139 Sutton Dr,Montgomery,AL,36111,
Ourtown Realty,Office,2.0,,,2.0,,5.0,2.0,16553.0,,2024-01-10,195000.0,2264.0,1.0,,single_family,1968.0,,,False,,,7474045814,215000.0,2958028203,5728 Carriage Hills Dr,Montgomery,AL,36116,
Storing Up Treasures Realty,Office,2.0,,,2.0,,3.0,2.0,16988.0,,2024-01-09,136000.0,1752.0,1.0,,single_family,1968.0,,,False,,,8160653135,136000.0,2961502665,4760 Queensbury Ct,Montgomery,AL,36116,
KW MONTGOMERY,Office,1.0,,,1.0,,3.0,,11326.0,,2024-01-09,31500.0,961.0,1.0,,single_family,1958.0,,,False,,,7315920123,31500.0,2963067396,1313 Adrian Ln,Montgomery,AL,36111,
MARY LOU BAILEY REALTY,Office,2.0,,,2.0,,4.0,,12632.0,,2024-01-08,178000.0,1892.0,1.0,,single_family,1967.0,,False,False,,5000.0,8656536510,184900.0,2961407982,511 E Moye Dr,Montgomery,AL,36109,
KW MONTGOMERY,Office,2.0,,,2.0,,4.0,,11326.0,,2024-01-08,172500.0,1699.0,1.0,,single_family,1975.0,,,False,,,8182935020,169900.0,2962227212,729 Ledyard Pl,Montgomery,AL,36109,
ARC Realty Montgomery,Office,2.0,,,2.0,,3.0,2.0,67954.0,,2024-01-08,150000.0,1833.0,1.0,,single_family,1962.0,,,False,,,7463846561,159000.0,2960840384,540 Seibles Rd,Montgomery,AL,36116,
LanMac Realty,Office,3.0,,,2.0,1.0,3.0,,313632.0,,2024-01-08,170000.0,3092.0,1.0,,single_family,1945.0,,False,False,,20000.0,9438857823,180000.0,2959489307,7370 Narrow Lane Rd,Montgomery,AL,36116,
SNC Real Estate LLC.,Office,1.0,,,1.0,,3.0,,12632.0,,2024-01-05,125000.0,1380.0,1.0,,single_family,1957.0,,,False,,,8163998846,125000.0,2961396128,4006 Marquette Dr,Montgomery,AL,36109,
Arc Realty - Auburn,Office,2.0,,,2.0,,3.0,,6098.0,,2024-01-05,162000.0,1539.0,1.0,,single_family,1984.0,,,False,,,8965792046,180000.0,2961496687,6032 Bolingbrook Dr,Montgomery,AL,36117,
Aronov Realty Brokerage Inc.,Office,2.0,,,2.0,,3.0,,8276.0,,2024-01-05,111200.0,1178.0,1.0,,single_family,1950.0,,,False,,,8210500445,118900.0,2961489340,2802 Cherry St,Montgomery,AL,36107,
"Shashy Realty, LLC",Office,1.0,,,1.0,,3.0,1.0,7405.0,,2024-01-05,63000.0,1290.0,1.0,,single_family,1948.0,,,False,,,7793345485,65000.0,2961378333,2938 McQueen St,Montgomery,AL,36107,
"List With Freedom, Inc.",Office,2.0,,,2.0,,4.0,,16553.0,,2024-01-05,106000.0,2349.0,1.0,,single_family,1964.0,,,False,,,8352509580,110000.0,2960801836,3010 Merrimac Dr,Montgomery,AL,36111,
Wallace & Moody Realty,Office,2.0,,,2.0,,3.0,2.0,6534.0,,2024-01-05,245000.0,1742.0,1.0,,single_family,2001.0,,,False,,,8426516593,249000.0,2960634023,8087 Ansley Trce,Montgomery,AL,36117,
KW MONTGOMERY,Office,3.0,,,3.0,,4.0,,22651.0,,2024-01-05,310000.0,3137.0,1.0,,single_family,1989.0,,False,False,,15500.0,8073335883,420000.0,2958470414,9719 Rosalie Dr,Montgomery,AL,36117,
Capital Rlty Grp River Region,Office,1.0,,,1.0,,3.0,,15682.0,,2024-01-05,100000.0,1471.0,1.0,,single_family,1950.0,,False,False,,7900.0,7056113344,105000.0,2959876046,256 Perry Hill Rd,Montgomery,AL,36109,
5th Floor Realty Group,Office,2.0,,,1.0,1.0,3.0,,10664.0,,2024-01-05,95900.0,1200.0,1.0,,single_family,1971.0,,,False,,,7947655529,95500.0,2962219368,6212 Hinchcliff Rd,Montgomery,AL,36117,
Sandra Nickel Hat Team Realtor,Office,4.0,,,3.0,1.0,4.0,2.0,30056.0,,2024-01-04,375000.0,4483.0,2.0,,single_family,1940.0,,,False,,,8261736041,410000.0,2959870684,2188 Woodley Rd,Montgomery,AL,36111,
House & Home Real Estate,Office,2.0,,,2.0,,3.0,2.0,9583.0,,2024-01-04,320000.0,2488.0,1.0,,single_family,2004.0,,,False,,,8782779002,334900.0,2962186447,861 Somerset Dr,Montgomery,AL,36117,
Silver Oak Realty,Office,2.0,,,2.0,,3.0,,10019.0,,2024-01-04,120000.0,1747.0,1.0,,single_family,1971.0,,True,False,,100.0,7152486220,119900.0,2960272346,3223 Babette Cir,Montgomery,AL,36116,
Wallace & Moody Realty,Office,2.0,,,2.0,,4.0,2.0,13747.0,,2024-01-03,283000.0,2069.0,1.0,,single_family,1994.0,,,False,,,7194045969,289900.0,2961543302,2349 Brookstone Dr,Montgomery,AL,36117,
Aegis-Michaud Properties Inc,Office,2.0,,,2.0,,4.0,,15682.0,,2024-01-02,284500.0,2124.0,1.0,,single_family,1994.0,,,False,,,7558916813,289900.0,2961717690,8332 Old Federal Rd,Montgomery,AL,36117,
Capital Rlty Grp River Region,Office,2.0,,,2.0,,2.0,,4792.0,,2024-01-02,160000.0,1475.0,1.0,,single_family,1989.0,,,False,,,7532334823,175000.0,2961447588,4040 Chambers Pl,Montgomery,AL,36109,
J. Webb Realty,Office,4.0,,,3.0,1.0,4.0,2.0,4356.0,,2024-01-02,439900.0,3050.0,2.0,,single_family,2022.0,,False,False,,5100.0,9702416423,439900.0,2959892239,7107 Fain Park Dr,Montgomery,AL,36117,
X-Clusive Realty,Office,2.0,,,2.0,,3.0,,18731.0,,2024-01-02,68250.0,2556.0,1.0,,single_family,1968.0,,,False,,,7307257977,101200.0,2959976130,201 Eagerton Rd,Montgomery,AL,36116,
Capital Rlty Grp River Region,Office,4.0,,,3.0,1.0,4.0,2.0,29621.0,,2024-01-02,385000.0,3288.0,2.0,,single_family,1987.0,,False,False,,10000.0,7435305681,399000.0,2957848730,8148 Lichfield Ct,Montgomery,AL,36117,
ERA WEEKS & BROWNING REALTY,Office,2.0,,,2.0,,4.0,,26136.0,,2024-01-01,139900.0,1500.0,1.0,,single_family,1978.0,,,False,,,7899123899,139900.0,2962211734,4387 Wares Ferry Rd,Montgomery,AL,36109,
Wallace & Moody Realty,Office,2.0,,,2.0,,4.0,1.0,6534.0,,2024-01-16,88500.0,1389.0,2.0,,single_family,1945.0,,False,False,,3000.0,7727981021,88000.0,2961522977,2326 Winona Ave,Montgomery,AL,36107,
FlatFee.com,Office,2.0,,,2.0,,3.0,,17424.0,,2024-01-16,145000.0,2058.0,1.0,,single_family,1969.0,,,False,,,7320925131,149000.0,619793175,115 Lookout Ridge Rd,Montgomery,AL,36109,
Wallace & Moody Realty,Office,2.0,,,2.0,,3.0,,9712.0,,2024-01-16,65000.0,1432.0,1.0,,single_family,1955.0,,False,False,,9000.0,7231604965,68000.0,2957379146,611 Glenmore Rd,Montgomery,AL,36107,
"List With Freedom, Inc.",Office,2.0,,,2.0,,3.0,,10890.0,,2024-01-12,169000.0,1804.0,1.0,,single_family,1984.0,,False,False,,5000.0,7700690979,169999.0,2960975584,1819 E Trinity Blvd,Montgomery,AL,36106,
Realty South - Chilton REA,Office,2.0,,,2.0,,3.0,,12632.0,,2024-01-12,180000.0,1476.0,1.0,,single_family,1999.0,,,False,,,8798505230,189900.0,2962329566,1112 Sandlewood Ct,Montgomery,AL,36117,
House & Home Real Estate,Office,2.0,,,2.0,,4.0,,12632.0,,2024-01-12,260000.0,1888.0,1.0,,single_family,2001.0,,True,False,,5001.0,7117799851,254999.0,2961991525,545 Ridge Park Dr,Montgomery,AL,36117,
KW MONTGOMERY,Office,2.0,,,2.0,,3.0,,13068.0,,2024-01-12,60000.0,1722.0,1.0,,single_family,1962.0,,,False,,,8922976627,75000.0,2952735222,4275 Sunshine Dr,Montgomery,AL,36116,
Capital Rlty Grp River Region,Office,2.0,,,2.0,,3.0,2.0,11326.0,,2024-01-12,159000.0,1635.0,1.0,,single_family,1965.0,,,False,,,8224034280,159000.0,2962073853,817 Dumont Dr,Montgomery,AL,36109,
Century 21 Prestige,Office,3.0,,,2.0,1.0,3.0,,740520.0,,2024-01-12,424900.0,3339.0,2.0,,single_family,1974.0,,,False,,,9099119141,424900.0,2959272543,1380 Cantelou Rd,Montgomery,AL,36108,
Mossy Oak Prop Al Land Crafter,Office,0.0,,,,,,,3397680.0,,2024-01-12,370000.0,,,,land,,,,False,,,9371305836,395000.0,2947407483,3180 E Old Hayneville Rd,Montgomery,AL,36105,
First Call Realty,Office,2.0,,,2.0,,3.0,,14375.0,,2024-01-12,140000.0,1576.0,1.0,,single_family,1969.0,,,False,,,7788790816,140000.0,2962320837,369 Kroy Dr,Montgomery,AL,36117,
Partners Realty,Office,1.0,,,1.0,,3.0,,13504.0,,2024-01-12,149900.0,1736.0,1.0,,single_family,1954.0,,,False,,,7502373005,149900.0,2962528957,3725 Dalraida Pkwy,Montgomery,AL,36109,
Taylor Realty,Office,1.0,,,1.0,,2.0,,4356.0,,2024-01-12,45000.0,1434.0,1.0,,single_family,1966.0,,,False,,,9066470079,50000.0,2962546121,1109D E Nixon Ave,Montgomery,AL,36104,
EXIT Realty Pike Road,Office,2.0,,,2.0,,4.0,2.0,13068.0,,2024-01-11,310000.0,2134.0,1.0,,single_family,2006.0,,False,False,,10000.0,7582727824,320000.0,2959156747,8979 Pennington Pl,Montgomery,AL,36117,
RE/MAX Cornerstone Plus,Office,2.0,,,2.0,,3.0,,6970.0,,2024-01-10,147000.0,1650.0,1.0,,single_family,1986.0,,,False,,,7012948010,145000.0,2960865829,3139 Sutton Dr,Montgomery,AL,36111,
Ourtown Realty,Office,2.0,,,2.0,,5.0,2.0,16553.0,,2024-01-10,195000.0,2264.0,1.0,,single_family,1968.0,,,False,,,7474045814,215000.0,2958028203,5728 Carriage Hills Dr,Montgomery,AL,36116,
Storing Up Treasures Realty,Office,2.0,,,2.0,,3.0,2.0,16988.0,,2024-01-09,136000.0,1752.0,1.0,,single_family,1968.0,,,False,,,8160653135,136000.0,2961502665,4760 Queensbury Ct,Montgomery,AL,36116,
KW MONTGOMERY,Office,1.0,,,1.0,,3.0,,11326.0,,2024-01-09,31500.0,961.0,1.0,,single_family,1958.0,,,False,,,7315920123,31500.0,2963067396,1313 Adrian Ln,Montgomery,AL,36111,
KW MONTGOMERY,Office,2.0,,,2.0,,4.0,,11326.0,,2024-01-08,172500.0,1699.0,1.0,,single_family,1975.0,,,False,,,8182935020,169900.0,2962227212,729 Ledyard Pl,Montgomery,AL,36109,
MARY LOU BAILEY REALTY,Office,2.0,,,2.0,,4.0,,12632.0,,2024-01-08,178000.0,1892.0,1.0,,single_family,1967.0,,False,False,,5000.0,8656536510,184900.0,2961407982,511 E Moye Dr,Montgomery,AL,36109,
ARC Realty Montgomery,Office,2.0,,,2.0,,3.0,2.0,67954.0,,2024-01-08,150000.0,1833.0,1.0,,single_family,1962.0,,,False,,,7463846561,159000.0,2960840384,540 Seibles Rd,Montgomery,AL,36116,
LanMac Realty,Office,3.0,,,2.0,1.0,3.0,,313632.0,,2024-01-08,170000.0,3092.0,1.0,,single_family,1945.0,,False,False,,20000.0,9438857823,180000.0,2959489307,7370 Narrow Lane Rd,Montgomery,AL,36116,
SNC Real Estate LLC.,Office,1.0,,,1.0,,3.0,,12632.0,,2024-01-05,125000.0,1380.0,1.0,,single_family,1957.0,,,False,,,8163998846,125000.0,2961396128,4006 Marquette Dr,Montgomery,AL,36109,
Arc Realty - Auburn,Office,2.0,,,2.0,,3.0,,6098.0,,2024-01-05,162000.0,1539.0,1.0,,single_family,1984.0,,,False,,,8965792046,180000.0,2961496687,6032 Bolingbrook Dr,Montgomery,AL,36117,
Aronov Realty Brokerage Inc.,Office,2.0,,,2.0,,3.0,,8276.0,,2024-01-05,111200.0,1178.0,1.0,,single_family,1950.0,,,False,,,8210500445,118900.0,2961489340,2802 Cherry St,Montgomery,AL,36107,
"Shashy Realty, LLC",Office,1.0,,,1.0,,3.0,1.0,7405.0,,2024-01-05,63000.0,1290.0,1.0,,single_family,1948.0,,,False,,,7793345485,65000.0,2961378333,2938 McQueen St,Montgomery,AL,36107,
"List With Freedom, Inc.",Office,2.0,,,2.0,,4.0,,16553.0,,2024-01-05,106000.0,2349.0,1.0,,single_family,1964.0,,,False,,,8352509580,110000.0,2960801836,3010 Merrimac Dr,Montgomery,AL,36111,
KW MONTGOMERY,Office,3.0,,,3.0,,4.0,,22651.0,,2024-01-05,310000.0,3137.0,1.0,,single_family,1989.0,,False,False,,15500.0,8073335883,420000.0,2958470414,9719 Rosalie Dr,Montgomery,AL,36117,
Wallace & Moody Realty,Office,2.0,,,2.0,,3.0,2.0,6534.0,,2024-01-05,245000.0,1742.0,1.0,,single_family,2001.0,,,False,,,8426516593,249000.0,2960634023,8087 Ansley Trce,Montgomery,AL,36117,
Capital Rlty Grp River Region,Office,1.0,,,1.0,,3.0,,15682.0,,2024-01-05,100000.0,1471.0,1.0,,single_family,1950.0,,False,False,,7900.0,7056113344,105000.0,2959876046,256 Perry Hill Rd,Montgomery,AL,36109,
5th Floor Realty Group,Office,2.0,,,1.0,1.0,3.0,,10664.0,,2024-01-05,95900.0,1200.0,1.0,,single_family,1971.0,,,False,,,7947655529,95500.0,2962219368,6212 Hinchcliff Rd,Montgomery,AL,36117,
Sandra Nickel Hat Team Realtor,Office,4.0,,,3.0,1.0,4.0,2.0,30056.0,,2024-01-04,375000.0,4483.0,2.0,,single_family,1940.0,,,False,,,8261736041,410000.0,2959870684,2188 Woodley Rd,Montgomery,AL,36111,
House & Home Real Estate,Office,2.0,,,2.0,,3.0,2.0,9583.0,,2024-01-04,320000.0,2488.0,1.0,,single_family,2004.0,,,False,,,8782779002,334900.0,2962186447,861 Somerset Dr,Montgomery,AL,36117,
Silver Oak Realty,Office,2.0,,,2.0,,3.0,,10019.0,,2024-01-04,120000.0,1747.0,1.0,,single_family,1971.0,,True,False,,100.0,7152486220,119900.0,2960272346,3223 Babette Cir,Montgomery,AL,36116,
Wallace & Moody Realty,Office,2.0,,,2.0,,4.0,2.0,13747.0,,2024-01-03,283000.0,2069.0,1.0,,single_family,1994.0,,,False,,,7194045969,289900.0,2961543302,2349 Brookstone Dr,Montgomery,AL,36117,
Aegis-Michaud Properties Inc,Office,2.0,,,2.0,,4.0,,15682.0,,2024-01-02,284500.0,2124.0,1.0,,single_family,1994.0,,,False,,,7558916813,289900.0,2961717690,8332 Old Federal Rd,Montgomery,AL,36117,
Capital Rlty Grp River Region,Office,2.0,,,2.0,,2.0,,4792.0,,2024-01-02,160000.0,1475.0,1.0,,single_family,1989.0,,,False,,,7532334823,175000.0,2961447588,4040 Chambers Pl,Montgomery,AL,36109,
J. Webb Realty,Office,4.0,,,3.0,1.0,4.0,2.0,4356.0,,2024-01-02,439900.0,3050.0,2.0,,single_family,2022.0,,False,False,,5100.0,9702416423,439900.0,2959892239,7107 Fain Park Dr,Montgomery,AL,36117,
X-Clusive Realty,Office,2.0,,,2.0,,3.0,,18731.0,,2024-01-02,68250.0,2556.0,1.0,,single_family,1968.0,,,False,,,7307257977,101200.0,2959976130,201 Eagerton Rd,Montgomery,AL,36116,
Capital Rlty Grp River Region,Office,4.0,,,3.0,1.0,4.0,2.0,29621.0,,2024-01-02,385000.0,3288.0,2.0,,single_family,1987.0,,False,False,,10000.0,7435305681,399000.0,2957848730,8148 Lichfield Ct,Montgomery,AL,36117,
ERA WEEKS & BROWNING REALTY,Office,2.0,,,2.0,,4.0,,26136.0,,2024-01-01,139900.0,1500.0,1.0,,single_family,1978.0,,,False,,,7899123899,139900.0,2962211734,4387 Wares Ferry Rd,Montgomery,AL,36109,
CORE International Realty LLC.,Office,2.0,,,2.0,,3.0,,17280.0,,2023-12-30,115000.0,2240.0,1.0,,single_family,1975.0,,,False,,,7960919056,116000.0,2958308289,4530 Shamrock Ct,Montgomery,AL,36106,
FlatFee.com,Office,2.0,,,2.0,,3.0,,17424.0,,2024-01-16,145000.0,2058.0,1.0,,single_family,1969.0,,,False,,,7320925131,149000.0,619793175,115 Lookout Ridge Rd,Montgomery,AL,36109,
Wallace & Moody Realty,Office,2.0,,,2.0,,3.0,,9712.0,,2024-01-16,65000.0,1432.0,1.0,,single_family,1955.0,,False,False,,9000.0,7231604965,68000.0,2957379146,611 Glenmore Rd,Montgomery,AL,36107,
"List With Freedom, Inc.",Office,2.0,,,2.0,,3.0,,10890.0,,2024-01-12,169000.0,1804.0,1.0,,single_family,1984.0,,False,False,,5000.0,7700690979,169999.0,2960975584,1819 E Trinity Blvd,Montgomery,AL,36106,
Realty South - Chilton REA,Office,2.0,,,2.0,,3.0,,12632.0,,2024-01-12,180000.0,1476.0,1.0,,single_family,1999.0,,,False,,,8798505230,189900.0,2962329566,1112 Sandlewood Ct,Montgomery,AL,36117,
House & Home Real Estate,Office,2.0,,,2.0,,4.0,,12632.0,,2024-01-12,260000.0,1888.0,1.0,,single_family,2001.0,,True,False,,5001.0,7117799851,254999.0,2961991525,545 Ridge Park Dr,Montgomery,AL,36117,
KW MONTGOMERY,Office,2.0,,,2.0,,3.0,,13068.0,,2024-01-12,60000.0,1722.0,1.0,,single_family,1962.0,,,False,,,8922976627,75000.0,2952735222,4275 Sunshine Dr,Montgomery,AL,36116,
Century 21 Prestige,Office,3.0,,,2.0,1.0,3.0,,740520.0,,2024-01-12,424900.0,3339.0,2.0,,single_family,1974.0,,,False,,,9099119141,424900.0,2959272543,1380 Cantelou Rd,Montgomery,AL,36108,
Mossy Oak Prop Al Land Crafter,Office,0.0,,,,,,,3397680.0,,2024-01-12,370000.0,,,,land,,,,False,,,9371305836,395000.0,2947407483,3180 E Old Hayneville Rd,Montgomery,AL,36105,
Capital Rlty Grp River Region,Office,2.0,,,2.0,,3.0,2.0,11326.0,,2024-01-12,159000.0,1635.0,1.0,,single_family,1965.0,,,False,,,8224034280,159000.0,2962073853,817 Dumont Dr,Montgomery,AL,36109,
First Call Realty,Office,2.0,,,2.0,,3.0,,14375.0,,2024-01-12,140000.0,1576.0,1.0,,single_family,1969.0,,,False,,,7788790816,140000.0,2962320837,369 Kroy Dr,Montgomery,AL,36117,
Partners Realty,Office,1.0,,,1.0,,3.0,,13504.0,,2024-01-12,149900.0,1736.0,1.0,,single_family,1954.0,,,False,,,7502373005,149900.0,2962528957,3725 Dalraida Pkwy,Montgomery,AL,36109,
Taylor Realty,Office,1.0,,,1.0,,2.0,,4356.0,,2024-01-12,45000.0,1434.0,1.0,,single_family,1966.0,,,False,,,9066470079,50000.0,2962546121,1109D E Nixon Ave,Montgomery,AL,36104,
